env.step/dt,env.step/fps,env.step/psps,env.step/total_steps,env.step/cpu_mem_use,env.step/gpu_mem_use,env.step+env.reset/dt,env.step+env.reset/fps,env.step+env.reset/psps,env.step+env.reset/total_steps,env.step+env.reset/cpu_mem_use,env.step+env.reset/gpu_mem_use,env_id,obs_mode,num_envs,control_mode,gpu_type,num_cameras,camera_width,camera_height
1.303398609161377,3068.9000064022243,767.2250016005561,1000,2028589056,3337748480,1.2871201038360596,3107.713093812013,776.9282734530033,1000,2028785664,3337748480,CartpoleBalanceBenchmark-v1,rgb,4,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,2.0,128.0,128.0
2.876004695892334,11126.54650588858,347.70457830901813,1000,2181627904,3738763264,2.8693554401397705,11152.33043363956,348.5103260512363,1000,2183987200,3740401664,CartpoleBalanceBenchmark-v1,rgb,32,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,2.0,128.0,128.0
4.569003105163574,14007.431933603106,218.86612396254853,1000,2355052544,4296081408,4.570775747299194,14001.99955944386,218.78124311631032,1000,2355249152,4296081408,CartpoleBalanceBenchmark-v1,rgb,64,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,2.0,128.0,128.0
8.289763927459717,15440.729207740398,120.63069693547186,1000,2697076736,4730191872,8.27196216583252,15473.958588532498,120.89030147291014,1000,2697469952,4751163392,CartpoleBalanceBenchmark-v1,rgb,128,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,2.0,128.0,128.0
15.415501594543455,16606.660408028172,64.86976721886005,1000,3431981056,6208749568,15.478831052780151,16538.716594753445,64.60436169825564,1000,3432177664,6250692608,CartpoleBalanceBenchmark-v1,rgb,256,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,2.0,128.0,128.0
30.10390591621399,17007.759771273944,33.21828080326942,1000,4801015808,9151184896,30.16769289970398,16971.798330823767,33.14804361489017,1000,4801212416,9208659968,CartpoleBalanceBenchmark-v1,rgb,512,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,2.0,128.0,128.0
1.497004508972168,2672.0026399562216,668.0006599890554,1000,2033807360,3372154880,1.4365079402923584,2784.530379404599,696.1325948511497,1000,2034003968,3356229632,CartpoleBalanceBenchmark-v1,rgb,4,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,3.0,128.0,128.0
4.140463829040527,7728.602717298797,241.5188349155874,1000,2249592832,3737321472,3.8296806812286377,8355.788031323218,261.11837597885057,1000,2251558912,3772055552,CartpoleBalanceBenchmark-v1,rgb,32,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,3.0,128.0,128.0
7.174267292022705,8920.771612616612,139.38705644713457,1000,2482978816,4251385856,7.183182716369629,8909.6995756702,139.21405586984687,1000,2483175424,4331798528,CartpoleBalanceBenchmark-v1,rgb,64,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,3.0,128.0,128.0
12.359649181365969,10356.281001323185,80.90844532283737,1000,2939777024,5050662912,12.635946035385132,10129.831169075476,79.13930600840216,1000,2940170240,5037359104,CartpoleBalanceBenchmark-v1,rgb,128,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,3.0,128.0,128.0
24.80803275108337,10319.238230964542,40.30952433970524,1000,3885903872,6611009536,23.99613928794861,10668.38281475424,41.67337037013375,1000,3885903872,6745620480,CartpoleBalanceBenchmark-v1,rgb,256,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,3.0,128.0,128.0
47.72743988037109,10727.581476888952,20.95230757204873,1000,5714890752,9886302208,45.69537615776062,11204.634758500508,21.884052262696304,1000,5717250048,10068164608,CartpoleBalanceBenchmark-v1,rgb,512,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,3.0,128.0,128.0
1.642852544784546,2434.789423249538,608.6973558123844,1000,2042449920,3627745280,1.643870830535889,2433.28120780392,608.3203019509799,1000,2042646528,3616276480,CartpoleBalanceBenchmark-v1,rgb,4,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,4.0,128.0,128.0
5.307704210281372,6028.971987175528,188.40537459923524,1000,2297692160,4045602816,5.131734848022461,6235.707991096102,194.8658747217532,1000,2297888768,4049600512,CartpoleBalanceBenchmark-v1,rgb,32,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,4.0,128.0,128.0
9.494502067565918,6740.7431737394445,105.32411208967882,1000,2585362432,4582998016,9.11553955078125,7020.9777099277535,109.70277671762116,1000,2585559040,4557635584,CartpoleBalanceBenchmark-v1,rgb,64,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,4.0,128.0,128.0
16.688936471939087,7669.751767299266,59.91993568202552,1000,3161157632,5387911168,16.9631130695343,7545.784755151317,58.95144339961966,1000,3163320320,5445451776,CartpoleBalanceBenchmark-v1,rgb,128,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,4.0,128.0,128.0
