env.step/dt,env.step/fps,env.step/psps,env.step/total_steps,env.step/cpu_mem_use,env.step/gpu_mem_use,env.step+env.reset/dt,env.step+env.reset/fps,env.step+env.reset/psps,env.step+env.reset/total_steps,env.step+env.reset/cpu_mem_use,env.step+env.reset/gpu_mem_use,env_id,obs_mode,num_envs,num_cameras,camera_width,camera_height,sensor_settings,gpu_type
10.141947984695436,1577.606197955716,98.60038737223223,1000,6550970368,5337305088,9.82232427597046,1628.9423511645546,101.80889694778466,1000,6568386560,5755817984,CartpoleBalanceBenchmark-v1,rgb,16,1.0,224.0,224.0,RGB(224x224),NVIDIA GeForce RTX 4090
11.097575187683104,1441.7563953752674,90.1097747109542,1000,6590357504,5447012352,10.73608112335205,1490.3017047066082,93.143856544163,1000,6596554752,5840228352,CartpoleBalanceBenchmark-v1,rgb,16,1.0,256.0,256.0,RGB(256x256),NVIDIA GeForce RTX 4090
14.563400030136108,1098.6445450163512,68.66528406352195,1000,6714613760,6178656256,14.17683219909668,1128.6019172195245,70.53761982622028,1000,6738006016,6585503744,CartpoleBalanceBenchmark-v1,rgb,16,1.0,512.0,512.0,RGB(512x512),NVIDIA GeForce RTX 4090
10.02961015701294,3190.5527232905306,99.70477260282908,1000,6465822720,5220782080,10.06921648979187,3178.00297892507,99.31259309140844,1000,6471012352,5631561728,CartpoleBalanceBenchmark-v1,rgb,32,1.0,80.0,80.0,RGB(80x80),NVIDIA GeForce RTX 4090
10.82892107963562,2955.049701135763,92.3453031604926,1000,6501765120,5344579584,10.481803178787231,3052.9098337546225,95.40343230483197,1000,6507601920,5738254336,CartpoleBalanceBenchmark-v1,rgb,32,1.0,128.0,128.0,RGB(128x128),NVIDIA GeForce RTX 4090
10.588393926620483,3022.1769440923604,94.44302950288626,1000,6510809088,5339598848,10.372770071029665,3085.000417523329,96.40626304760404,1000,6533378048,5766434816,CartpoleBalanceBenchmark-v1,rgb,32,1.0,160.0,160.0,RGB(160x160),NVIDIA GeForce RTX 4090
12.013771772384644,2663.6097810311776,83.2378056572243,1000,6524289024,5647028224,11.63795804977417,2749.623246890888,85.92572646534025,1000,6545313792,6055972864,CartpoleBalanceBenchmark-v1,rgb,32,1.0,224.0,224.0,RGB(224x224),NVIDIA GeForce RTX 4090
12.409716844558716,2578.624508586675,80.58201589333359,1000,6613229568,5760864256,12.187248229980469,2625.6952673927185,82.05297710602245,1000,6629298176,6150934528,CartpoleBalanceBenchmark-v1,rgb,32,1.0,256.0,256.0,RGB(256x256),NVIDIA GeForce RTX 4090
19.78607630729676,1617.2989279435342,50.54059149823544,1000,7152472064,7330254848,19.60849618911743,1631.9456469976396,50.99830146867624,1000,7151702016,7739199488,CartpoleBalanceBenchmark-v1,rgb,32,1.0,512.0,512.0,RGB(512x512),NVIDIA GeForce RTX 4090
11.476547479629517,5576.590007891993,87.13421887331239,1000,6464589824,5319806976,11.151919603347778,5738.922291081381,89.67066079814659,1000,6486392832,5713547264,CartpoleBalanceBenchmark-v1,rgb,64,1.0,80.0,80.0,RGB(80x80),NVIDIA GeForce RTX 4090
12.457526922225952,5137.456286433156,80.27275447551806,1000,6559338496,5447012352,13.444560050964355,4760.28964558118,74.37952571220593,1000,6570811392,5840228352,CartpoleBalanceBenchmark-v1,rgb,64,1.0,128.0,128.0,RGB(128x128),NVIDIA GeForce RTX 4090
12.53842830657959,5104.308006962543,79.75481260878973,1000,6523772928,5569761280,12.357403993606567,5179.081304868895,80.92314538857649,1000,6548426752,5966581760,CartpoleBalanceBenchmark-v1,rgb,64,1.0,160.0,160.0,RGB(160x160),NVIDIA GeForce RTX 4090
13.905930519104004,4602.352925039905,71.91176445374852,1000,6665203712,5954654208,13.815340042114258,4632.53164995609,72.38330703056391,1000,6682763264,6369890304,CartpoleBalanceBenchmark-v1,rgb,64,1.0,224.0,224.0,RGB(224x224),NVIDIA GeForce RTX 4090
14.908812522888184,4292.763082354577,67.07442316179026,1000,6705299456,6205919232,14.482876300811768,4419.011712225478,69.04705800352309,1000,6725509120,6621155328,CartpoleBalanceBenchmark-v1,rgb,64,1.0,256.0,256.0,RGB(256x256),NVIDIA GeForce RTX 4090
26.98501300811768,2371.6868315293164,37.05760674264557,1000,7618506752,9048608768,26.841248989105225,2384.389788492234,37.25609044519116,1000,7644000256,9434484736,CartpoleBalanceBenchmark-v1,rgb,64,1.0,512.0,512.0,RGB(512x512),NVIDIA GeForce RTX 4090
13.945850372314451,9178.357474285527,71.7059177678557,1000,6526685184,5373153280,13.647880792617798,9378.745458359792,73.27144889343587,1000,6533828608,5766434816,CartpoleBalanceBenchmark-v1,rgb,128,1.0,80.0,80.0,RGB(80x80),NVIDIA GeForce RTX 4090
15.702558040618896,8151.538091366611,63.68389133880165,1000,6582894592,5752475648,15.805861711502075,8098.261413159979,63.26766729031234,1000,6604267520,6150934528,CartpoleBalanceBenchmark-v1,rgb,128,1.0,128.0,128.0,RGB(128x128),NVIDIA GeForce RTX 4090
15.868179559707642,8066.457750769131,63.01920117788384,1000,6690381824,6031396864,15.542495727539062,8235.485615942776,64.33973137455294,1000,6707269632,6446632960,CartpoleBalanceBenchmark-v1,rgb,128,1.0,160.0,160.0,RGB(160x160),NVIDIA GeForce RTX 4090
18.84708261489868,6791.502038560365,53.05860967625285,1000,6990757888,6901125120,18.68387985229492,6850.825471577729,53.52207399670101,1000,7002169344,7295389696,CartpoleBalanceBenchmark-v1,rgb,128,1.0,224.0,224.0,RGB(224x224),NVIDIA GeForce RTX 4090
20.904752016067505,6123.009730113924,47.83601351651503,1000,7122116608,7347032064,20.749907732009888,6168.702128855279,48.192985381681865,1000,7132975104,7739199488,CartpoleBalanceBenchmark-v1,rgb,128,1.0,256.0,256.0,RGB(256x256),NVIDIA GeForce RTX 4090
46.19373679161072,2770.938419150498,21.647956399613264,1000,8902508544,13625643008,46.50018668174744,2752.6771209768804,21.50529000763188,1000,8907313152,13990547456,CartpoleBalanceBenchmark-v1,rgb,128,1.0,512.0,512.0,RGB(512x512),NVIDIA GeForce RTX 4090
17.26338815689087,14829.07049725432,57.92605662989968,1000,6566035456,5565566976,17.27732014656067,14817.112713568658,57.87934653737757,1000,6567432192,5966581760,CartpoleBalanceBenchmark-v1,rgb,256,1.0,80.0,80.0,RGB(80x80),NVIDIA GeForce RTX 4090
21.372302293777462,11978.119927422806,46.78953096649533,1000,6746275840,6189142016,20.53499245643616,12466.525154225876,48.697363883694834,1000,6771585024,6587600896,CartpoleBalanceBenchmark-v1,rgb,256,1.0,128.0,128.0,RGB(128x128),NVIDIA GeForce RTX 4090
21.0403470993042,12167.0996581832,47.52773303977813,1000,6957641728,6703271936,20.922544717788696,12235.605345957012,47.79533338264458,1000,6967177216,7097536512,CartpoleBalanceBenchmark-v1,rgb,256,1.0,160.0,160.0,RGB(160x160),NVIDIA GeForce RTX 4090
26.7062406539917,9585.77447559009,37.44443154527379,1000,7386140672,8106266624,27.97502326965332,9151.020091472205,35.7461722323133,1000,7400775680,8494239744,CartpoleBalanceBenchmark-v1,rgb,256,1.0,224.0,224.0,RGB(224x224),NVIDIA GeForce RTX 4090
31.57462477684021,8107.776475867241,31.67100185885641,1000,7611813888,9048608768,31.59833693504333,8101.692203809932,31.647235171132547,1000,7637245952,9434484736,CartpoleBalanceBenchmark-v1,rgb,256,1.0,256.0,256.0,RGB(256x256),NVIDIA GeForce RTX 4090
25.37356114387512,20178.484095977627,39.4111017499563,1000,6773506048,6077599744,24.75710391998291,20680.932699350786,40.392446678419496,1000,6799835136,6476058624,CartpoleBalanceBenchmark-v1,rgb,512,1.0,80.0,80.0,RGB(80x80),NVIDIA GeForce RTX 4090
29.59505534172058,17300.187280887632,33.78942828298366,1000,7088590848,7300239360,30.0084388256073,17061.86726258787,33.32395949724194,1000,7098269696,7692406784,CartpoleBalanceBenchmark-v1,rgb,512,1.0,128.0,128.0,RGB(128x128),NVIDIA GeForce RTX 4090
34.82240152359009,14703.178919269849,28.71714632669892,1000,7420493824,8425295872,32.06516194343567,15967.485238440093,31.186494606328303,1000,7445786624,8813268992,CartpoleBalanceBenchmark-v1,rgb,512,1.0,160.0,160.0,RGB(160x160),NVIDIA GeForce RTX 4090
44.9401535987854,11392.9294628365,22.25181535710254,1000,8300613632,11346235392,44.55359864234924,11491.776547839436,22.44487606999889,1000,8320503808,11736305664,CartpoleBalanceBenchmark-v1,rgb,512,1.0,224.0,224.0,RGB(224x224),NVIDIA GeForce RTX 4090
50.93471813201904,10052.082720334953,19.632974063154204,1000,8843599872,13079597056,49.92176699638367,10256.047227596917,20.03134224140023,1000,8866451456,13463375872,CartpoleBalanceBenchmark-v1,rgb,512,1.0,256.0,256.0,RGB(256x256),NVIDIA GeForce RTX 4090
38.25550937652588,26767.38636313495,26.140025745248973,1000,7055151104,6820712448,38.08346366882324,26888.31060390892,26.258115824129803,1000,7074312192,7231754240,CartpoleBalanceBenchmark-v1,rgb,1024,1.0,80.0,80.0,RGB(80x80),NVIDIA GeForce RTX 4090
50.52115249633789,20268.737932576387,19.793689387281628,1000,7728267264,9216380928,48.81274962425232,20978.12575367055,20.48645093131889,1000,7741198336,9602256896,CartpoleBalanceBenchmark-v1,rgb,1024,1.0,128.0,128.0,RGB(128x128),NVIDIA GeForce RTX 4090
54.37123465538025,18833.488084101675,18.39207820713054,1000,8320827392,11225714688,54.10769391059876,18925.21979761212,18.48165995860558,1000,8339107840,11601104896,CartpoleBalanceBenchmark-v1,rgb,1024,1.0,160.0,160.0,RGB(160x160),NVIDIA GeForce RTX 4090
79.20425915718079,3232.149416257631,12.62558365725637,1000,10952523776,20251594752,80.71875166893005,3171.505935200662,12.388695059377586,1000,10971512832,20587139072,CartpoleBalanceBenchmark-v1,rgb,256,1.0,512.0,512.0,RGB(512x512),NVIDIA GeForce RTX 4090
78.18496489524841,13097.147275974952,12.79018288669429,1000,9998376960,16947793920,78.2923653125763,13079.180784892093,12.772637485246184,1000,10027352064,17298018304,CartpoleBalanceBenchmark-v1,rgb,1024,1.0,224.0,224.0,RGB(224x224),NVIDIA GeForce RTX 4090
91.69812679290771,11167.076534863309,10.905348178577448,1000,11055226880,20385812480,91.64995121955872,11172.946481410365,10.911080548252308,1000,11085512704,20721356800,CartpoleBalanceBenchmark-v1,rgb,1024,1.0,256.0,256.0,RGB(256x256),NVIDIA GeForce RTX 4090
9.228301048278809,433.44923177880605,108.36230794470151,1000,6508879872,5188800512,8.97450065612793,445.7072491569475,111.42681228923688,1000,6521757696,5616422912,CartpoleBalanceBenchmark-v1,rgb+depth,4,1.0,80.0,80.0,,NVIDIA GeForce RTX 4090
9.074474811553957,440.79685966035777,110.19921491508944,1000,6453190656,5211279360,9.016781568527222,443.61726738084326,110.9043168452108,1000,6473330688,5622124544,CartpoleBalanceBenchmark-v1,rgb+depth,4,1.0,160.0,160.0,,NVIDIA GeForce RTX 4090
9.153534889221191,436.9896491802558,109.24741229506397,1000,6486298624,5232185344,8.98822283744812,445.0267947668791,111.25669869171976,1000,6509686784,5634576384,CartpoleBalanceBenchmark-v1,rgb+depth,4,1.0,224.0,224.0,,NVIDIA GeForce RTX 4090
9.131021738052368,438.0670766920322,109.51676917300806,1000,6455754752,5244702720,9.027194738388062,443.1055400843451,110.77638502108628,1000,6474035200,5638705152,CartpoleBalanceBenchmark-v1,rgb+depth,4,1.0,256.0,256.0,,NVIDIA GeForce RTX 4090
10.398943185806274,384.6544719524653,96.16361798811631,1000,6545137664,5459595264,10.33539366722107,387.0196074568585,96.75490186421465,1000,6556160000,5877977088,CartpoleBalanceBenchmark-v1,rgb+depth,4,1.0,512.0,512.0,,NVIDIA GeForce RTX 4090
9.659109115600586,1656.4674659444663,103.52921662152916,1000,6469193728,5194502144,9.42241621017456,1698.0782469280862,106.1298904330054,1000,6477877248,5622124544,CartpoleBalanceBenchmark-v1,rgb+depth,16,1.0,80.0,80.0,,NVIDIA GeForce RTX 4090
10.041354894638062,1593.4104677988992,99.5881542374312,1000,6530494464,5309583360,9.84072995185852,1625.8956478099717,101.61847798812325,1000,6552854528,5720100864,CartpoleBalanceBenchmark-v1,rgb+depth,16,1.0,160.0,160.0,,NVIDIA GeForce RTX 4090
10.400381565093994,1538.4050959918218,96.15031849948886,1000,6543413248,5362733056,10.210587978363035,1567.0008459752894,97.9375528734556,1000,6556770304,5789634560,CartpoleBalanceBenchmark-v1,rgb+depth,16,1.0,224.0,224.0,,NVIDIA GeForce RTX 4090
10.891777276992798,1468.9980884751965,91.81238052969978,1000,6592610304,5484761088,10.925204753875732,1464.5034450566225,91.5314653160389,1000,6601129984,5877977088,CartpoleBalanceBenchmark-v1,rgb+depth,16,1.0,256.0,256.0,,NVIDIA GeForce RTX 4090
14.768729209899902,1083.3701243079695,67.71063276924811,1000,6735761408,6289805312,14.590992450714111,1096.566943889888,68.535433993118,1000,6748520448,6705041408,CartpoleBalanceBenchmark-v1,rgb+depth,16,1.0,512.0,512.0,,NVIDIA GeForce RTX 4090
10.59162664413452,3021.254532014788,94.41420412546212,1000,6461988864,5210034176,10.218178272247314,3131.6736846246217,97.86480264451944,1000,6487162880,5637591040,CartpoleBalanceBenchmark-v1,rgb+depth,32,1.0,80.0,80.0,,NVIDIA GeForce RTX 4090
11.005182027816772,2907.721100761131,90.86628439878534,1000,6522380288,5409460224,11.055514574050903,2894.483091280909,90.4525966025284,1000,6542094336,5802741760,CartpoleBalanceBenchmark-v1,rgb+depth,32,1.0,160.0,160.0,,NVIDIA GeForce RTX 4090
12.203774213790894,2622.139629872728,81.94186343352276,1000,6546522112,5706141696,11.973440408706663,2672.581890225196,83.51818406953737,1000,6563848192,6106697728,CartpoleBalanceBenchmark-v1,rgb+depth,32,1.0,224.0,224.0,,NVIDIA GeForce RTX 4090
12.83720874786377,2492.753730854856,77.89855408921423,1000,6623268864,5794418688,12.668416738510132,2525.966792892492,78.93646227789037,1000,6651723776,6209654784,CartpoleBalanceBenchmark-v1,rgb+depth,32,1.0,256.0,256.0,,NVIDIA GeForce RTX 4090
20.613072395324707,1552.41292449242,48.51290389038813,1000,7087980544,7581913088,20.246599435806274,1580.512327586614,49.39101023708169,1000,7097323520,7990857728,CartpoleBalanceBenchmark-v1,rgb+depth,32,1.0,512.0,512.0,,NVIDIA GeForce RTX 4090
11.966904163360596,5348.083274198066,83.56380115934478,1000,6554722304,5292806144,11.632483959197998,5501.834365255594,85.96616195711866,1000,6577352704,5720100864,CartpoleBalanceBenchmark-v1,rgb+depth,64,1.0,80.0,80.0,,NVIDIA GeForce RTX 4090
13.207484245300291,4845.7373721852855,75.71464644039509,1000,6571913216,5616947200,12.821765899658203,4991.512128739309,77.99237701155171,1000,6573629440,6013767680,CartpoleBalanceBenchmark-v1,rgb+depth,64,1.0,160.0,160.0,,NVIDIA GeForce RTX 4090
14.43924069404602,4432.366033373917,69.25571927146746,1000,6714826752,6066851840,14.42476487159729,4436.814088111588,69.32522012674356,1000,6730690560,6465310720,CartpoleBalanceBenchmark-v1,rgb+depth,64,1.0,224.0,224.0,,NVIDIA GeForce RTX 4090
